Timestamp,eventName,description,time,date,location,other,picture,calendar,rsvp
9/3/2024 2:15:16,Beach Day,"A day at the beach with fun activities including calisthenics, games, and a bonfire to wrap it all up.",5-8 PM,Fri 10/4,La Jolla Shores,RSVP Required,https://drive.google.com/open?id=1r4sjgnCaW2zcvJRPa2qeM9UA3ocj3VAj,https://calendar.google.com/calendar/u/0/r?cid=Y185MmJiNzdiMDhiMDBiMWNjYWI2ZWJkMjQxNDgzMDgzZDIxNWExZTgyZDVmZDE1ZTRjM2NhNmE2NDViMDNhZjQ0QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb21,Yes
9/3/2024 2:20:05,GBM 2,Second General Body Meeting where we discuss the progress of the club and upcoming events.,4-5 PM,Fri 10/4,Muir Bar Park,Food After,https://drive.google.com/open?id=1BHrX6Slw1RD46Ts12IGnedDsKxUFDIf_,https://calendar.google.com/calendar/u/0/r?cid=Y185MmJiNzdiMDhiMDBiMWNjYWI2ZWJkMjQxNDgzMDgzZDIxNWExZTgyZDVmZDE1ZTRjM2NhNmE2NDViMDNhZjQ0QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb21,No
9/3/2024 2:21:30,Kickback,A casual evening to relax and socialize with other club members.,7-10 PM,Sat 10/19,TBD,RSVP Required,https://drive.google.com/open?id=14iv693CFgji98YDUuWMfhSP6JxwdpIL9,https://calendar.google.com/calendar/u/0/r?cid=Y185MmJiNzdiMDhiMDBiMWNjYWI2ZWJkMjQxNDgzMDgzZDIxNWExZTgyZDVmZDE1ZTRjM2NhNmE2NDViMDNhZjQ0QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb21,Yes
9/3/2024 2:22:43,Family Beach Day,Join us at the beach as we induct new members into their workout families!,7-10 PM,Fri 10/25,Black's Beach,Family Reveal,https://drive.google.com/open?id=1yKpUq0zWej0kKwCXfO-8lGdLG1z6x5HA,https://calendar.google.com/calendar/u/0/r?cid=Y185MmJiNzdiMDhiMDBiMWNjYWI2ZWJkMjQxNDgzMDgzZDIxNWExZTgyZDVmZDE1ZTRjM2NhNmE2NDViMDNhZjQ0QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb21,No
9/3/2024 2:24:29,UCLA Bar Jam,Travel with us to Santa Monica for a bar jam session with UCLA's calisthenics club.,4-6 PM,Sat 10/26,Santa Monica,Carpool available,https://drive.google.com/open?id=1LOUhA2YEpyAKvtFvY-pGUj3yq2MZ7-zq,https://calendar.google.com/calendar/u/0/r?cid=Y185MmJiNzdiMDhiMDBiMWNjYWI2ZWJkMjQxNDgzMDgzZDIxNWExZTgyZDVmZDE1ZTRjM2NhNmE2NDViMDNhZjQ0QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb21,No
9/3/2024 2:25:08,Halloween Costume Contest,Wear your best costume and join us for a spooky workout session followed by a costume contest.,3-8 PM,Sat 11/2,Muir Bar Park,Prizes,https://drive.google.com/open?id=1ULCKUonKUNXkwRW6lmo4LoMXSbP8DvnA,https://calendar.google.com/calendar/u/0/r?cid=Y185MmJiNzdiMDhiMDBiMWNjYWI2ZWJkMjQxNDgzMDgzZDIxNWExZTgyZDVmZDE1ZTRjM2NhNmE2NDViMDNhZjQ0QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb21,No
9/3/2024 2:27:54,The Three Tritons,"Our annual calisthenics competition with categories for strength, speed, and skill. Join us for a beginner friendly competition to show off your progress and win prizes!",4-7 PM,Sat 11/9,Muir Bar Park,Food Provided,https://drive.google.com/open?id=1BA7PM_H99O-jWQ0LNLzfRwuPSU1xNv-B,https://calendar.google.com/calendar/u/0/r?cid=Y185MmJiNzdiMDhiMDBiMWNjYWI2ZWJkMjQxNDgzMDgzZDIxNWExZTgyZDVmZDE1ZTRjM2NhNmE2NDViMDNhZjQ0QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb21,No
9/3/2024 2:28:59,GBM 3,Final General Body Meeting of the quarter to wrap up and discuss future plans.,4-6 PM,Sat 11/15,Muir Bar Park,Elections,https://drive.google.com/open?id=1ji3XgJ6fyqagmm7luTV7m1gqM0RyUg5s,https://calendar.google.com/calendar/u/0/r?cid=Y185MmJiNzdiMDhiMDBiMWNjYWI2ZWJkMjQxNDgzMDgzZDIxNWExZTgyZDVmZDE1ZTRjM2NhNmE2NDViMDNhZjQ0QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb21,No
9/3/2024 2:30:17,Field Day,A day filled with team-based challenges and outdoor activities to build camaraderie.,3-6 PM,Sat 11/23,Muir Field,,https://drive.google.com/open?id=1vMEXb-LI4g61vofPu7j0IyfiIz_ntv_Q,https://calendar.google.com/calendar/u/0/r?cid=Y185MmJiNzdiMDhiMDBiMWNjYWI2ZWJkMjQxNDgzMDgzZDIxNWExZTgyZDVmZDE1ZTRjM2NhNmE2NDViMDNhZjQ0QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb21,No
9/3/2024 2:31:30,Formal Night,Dress up and join us for a formal dinner to celebrate the end of the quarter.,5-8 PM,Wed 11/27,Price Center,Dinner provided.,https://drive.google.com/open?id=1JpOb5NDazO-dHveluxNZ8bGtvX6CWvFF,https://calendar.google.com/calendar/u/0/r?cid=Y185MmJiNzdiMDhiMDBiMWNjYWI2ZWJkMjQxNDgzMDgzZDIxNWExZTgyZDVmZDE1ZTRjM2NhNmE2NDViMDNhZjQ0QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb21,No
