Timestamp,eventName,description,time,days,location,other,picture,calendar,link
1/12/2024,TritonThenx Saturday Workout,"This is our traditional workout where you'll get the opportunity to practice calisthenics skills, improve your general strength/fitness, and get to know people!",3-5PM,Saturday,Triton Bar Park,Head Trainer: Joseph Hernandez,https://drive.google.com/open?id=1_8tvJYxkgaE-JwEBF9dEUOYYctKgs1uC,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=Nm5qa2Z0cHFlaGUzdTFwMW82OXZ1NGh2dGtfMjAyNTAxMTFUMjMwMDAwWiBjXzczODc2ZjAwNGFmNjMwM2NkZDMxM2FiYjAzY2E1NDk0MGQwOTQyNDNmZDNkNjMxOTQ4NTg1Yzk5MjU0YjhmMWZAZw&tmsrc=c_73876f004af6303cdd313abb03ca54940d094243fd3d631948585c99254b8f1f%40group.calendar.google.com&scp=ALL,https://hevy.com/routine/EJd4s8ALAek
1/12/2024,Dragonfire Workout,Come join the DragonFire Family Mon/Wed/Fri at 2:00 PM for a mixed calisthenics and weightlifting workout. Monday's and Friday's will focus on calisthenics and Wednesday's will be specifically weightlifting at the outdoor gym next to the bar park.,3-5PM,"Mon, Wed, Fri",Triton Bar Park,Trainer: Luke Severino,https://drive.google.com/open?id=1TojkksWdfxppNa2FHdDsgKPA9v5TGqNV,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=OGVzamU5NTJuYmhqdWJkb2YyNzNhaHVlcjRfMjAyNTAxMDZUMjMwMDAwWiBjXzM0NzFmNWRhY2U0M2I4MWFkMTY1NzFlZTcxZWZlMDVmYThlNDg5MzgzYTlmNjgwZThhM2MzMWI0YjAxMDZiNDdAZw&tmsrc=c_3471f5dace43b81ad16571ee71efe05fa8e489383a9f680e8a3c31b4b0106b47%40group.calendar.google.com&scp=ALL,
1/12/2024,Strength Training with Sophia,Skills focused workouts that combine strength training and skill drills,2-3PM,Wed,Triton Bar Park,Trainer: Sophia Carvalho,https://drive.google.com/open?id=1Kcyv8d3VCUbi7QV2At71M9IQBLJlal0V,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=N2Y2b3NsOHMwbG5wdmQycG9wNThhbnM0dGpfMjAyNTAxMDhUMjIwMDAwWiBjXzE3YzYyNGNhYjFmY2ExNDYxNDg4MGZmZTlmNzQ1M2U2NmEyYTIwYzFjOGVkM2IzYjU3YmM4NTE3YzRlMDhjOTBAZw&tmsrc=c_17c624cab1fca14614880ffe9f7453e66a2a20c1c8ed3b3b57bc8517c4e08c90%40group.calendar.google.com&scp=ALL,https://hevy.com/routine/HBlSStdfVso
1/12/2024,Jack's Family Workout,"Join the president of TritonThenix this quarter for our diverse lineup of bodyweight-focused workouts, open to all skill levels! Whether you're new to calisthenics or a seasoned athlete, these sessions are designed to help you build strength, increase endurance, and develop flexibility while having fun!","2:15PM, 6:30PM, 4:15PM","Mon, Wed, Thurs",Triton Bar Park,Trainer: Jack,https://drive.google.com/open?id=1o8bDBiJJ2EkaWVsBPZ-si-3d3YCAQ4JH,https://calendar.google.com/calendar/u/0?cid=Y184OTUxNzQzNDYzY2E2NGVjYzIzNjNjOWIzMDMwMDY2MThlZDcyOWQ0Mzg5YTdmYThkOGM2YzUyNGQ2ZWJmMTFmQGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20,https://hevy.com/routine/Ir4w4Z9pHve
1/12/2024,King Family Skill Training,Start training calisthenics with the King family. Fundamentals + Muscle Ups + Handstands + Front Lever + More,3-5PM,Fri,Triton Bar Park,Trainer: Henry Nguyen,https://drive.google.com/open?id=1cp3C-XuhfyvX88Ky7P_4I0sLwoAVytvV,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NWtxc3R2M3VkbTN1cmFoNDJzMXRvczhqajZfMjAyNTAxMTBUMjMwMDAwWiBjXzNhNWYwZjI3M2NmODdiMWFjZWZjYzZhMjlmNTE2ZTA3ZWM3Nzc1NmFhZDMyZmMyNTZmM2MwZWFhYmMyOTM4ODRAZw&tmsrc=c_3a5f0f273cf87b1acefcc6a29f516e07ec77756aad32fc256f3c0eaabc293884%40group.calendar.google.com&scp=ALL,
1/12/2024,Skill Training,Skill traning with the Head Trainer. ,12:30-1:30PM,"Tues, Thurs",Triton Bar Park,Trainer: Joseph Hernandez,,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NGphdGRkazZzbWpxdHI0NHI1NGg1MnJhNWdfMjAyNTAxMDdUMjAzMDAwWiBjXzM0ZTRlYjc1MTMxMDlhMjdjN2FjMTQwODQ0NzU1YzhlMTQyYmIxMGZiNGYzOGNjNGVkNmVhODE1YjBhMmU4MmNAZw&tmsrc=c_34e4eb7513109a27c7ac140844755c8e142bb10fb4f38cc4ed6ea815b0a2e82c%40group.calendar.google.com&scp=ALL,
1/12/2024,Strength Training ,Strength training: Weighted Pull Ups + Dips + More!,12-2PM,"Tues, Thurs",Triton Bar Park,Trainer:  Luke Severino,,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=Njloa21kZjk2djFtMDRjZ29ydDl2ZHU5anNfMjAyNTAxMDdUMjAwMDAwWiBjX2IwOGQ4ODczNDYzNjEyMTY4MGFlZDFkNDdiNTM2YjlhYTJlN2ZmYjEwYmU5YmQ4MjQ4MTMwMGY4MjNkYzA1YmZAZw&tmsrc=c_b08d88734636121680aed1d47b536b9aa2e7ffb10be9bd82481300f823dc05bf%40group.calendar.google.com&scp=ALL,
1/12/2024,Sets & Rep Training,"Sets and Reps training, building up endurance with the President.",3:45-5:15PM,"Tues, Fri",Triton Bar Park,Trainer: Jack,,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=MGl0ZmRhMmYxNDMyZDE3MGYybjRoMTJqdDVfMjAyNTAxMDdUMjM0NTAwWiBjXzkwMjg1NTc2YWM1ZjQ4YmI5ZDZiNmY0Y2Q0YmZiZWY5ZjQ4MGJmMzU4YWY3OGQ1ODc1YzczY2NkMzkzMGQwNzVAZw&tmsrc=c_90285576ac5f48bb9d6b6f4cd4bfbef9f480bf358af78d5875c73ccd3930d075%40group.calendar.google.com&scp=ALL,
1/12/2024,Basics with Kong,"Strength training. 
Upper: pull-ups, dips, pushups, rows
Lower: squats, RDLs, mobility",6-7:30PM,"Mon, Tue, Wed, Thu, Fri",Triton Fit/Bar Park,"Trainers: Bryan Tran (papa Kong), Hieu Luu (mama Kong)",https://drive.google.com/open?id=1xcjk_GgAdSavs7HEJCRFaJpRnl9BnThP,https://urldefense.com/v3/__https://calendar.google.com/calendar/u/2?cid=Y18wNjIzMDVjZDM2NDYxODc1MzliMmEwZmQyYTgwMjZiYzI0ZWUzYzU3YTdiODZmMWEwNDJmMmY4NWY3NGQ3M2MxQGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20__;!!Mih3wA!F18OYTkuIBrjtWAvoUHOUDxX4y1NjIi1A5McPViFdbALu2oJkueRJaT0LgYGtpITUQvzjWgrdWJHR7buX7KDZhg8$,https://hevy.com/routine/CJnWq7QDvRv
1/12/2024,Intro to Calisthenics,"Intro to Calisthenics classes designed to help beginner calisthenics athletes develop their strength, skill, and knowledge ",4:30pm-5:30pm,"Mon, Wed, Fri",Triton Bar Park,Trainer: Ajani,https://drive.google.com/open?id=1VaCSmn77i33yW8iHe0IId3DRlH-zbml3,n/a,n/a
